1386.46	1386.46
1385.75	1385.75
1385.49	1385.49
1385.23	1385.23
1384.75	1384.75
1384.7	1384.7
1384.14	1384.14
1384	1384
1383.83	1383.83
1383.2	1383.2
1382.78	1382.78
1382.21	1382.21
1381.87	1381.87
1381.12	1381.12
1380.59	1380.59
1380.07	1380.07
1379.37	1379.37
1378.59	1378.59
1377.63	1377.63
1377.12	1377.12
1376.15	1376.15
1375.64	1375.64
1374.94	1374.94
1374.43	1374.43
1374.18	1374.18
1373.48	1373.48
1373.24	1373.24
1372.8	1372.8
1372.29	1372.29
1371.86	1371.86
1371.61	1371.61
1370.91	1370.91
1370.66	1370.66
1369.95	1369.95
1369.67	1369.67
1368.9	1368.9
1368.29	1368.29
1367.7	1367.7
1367.01	1367.01
1366.13	1366.13
1365.71	1365.71
1365.15	1365.15
1364.82	1364.82
1364.33	1364.33
1364.07	1364.07
1363.36	1363.36
1363.12	1363.12
1362.42	1362.42
1362.17	1362.17
1361.48	1361.48
1361.23	1361.23
1360.98	1360.98
1360.55	1360.55
1360.3	1360.3
1359.86	1359.86
1359.62	1359.62
1359.18	1359.18
1359.19	1359.19
1358.94	1358.94
1358.51	1358.51
1358.52	1358.52
1358.08	1358.08
1357.83	1357.83
1357.33	1357.33
1356.89	1356.89
1356.64	1356.64
1356.14	1356.14
1355.7	1355.7
1355.45	1355.45
1355.01	1355.01
1354.76	1354.76
1354.52	1354.52
1354.08	1354.08
1353.83	1353.83
1353.33	1353.33
1352.63	1352.63
1352.38	1352.38
1351.68	1351.68
1351.42	1351.42
1351.14	1351.14
1350.37	1350.37
1350.02	1350.02
1349.62	1349.62
1349	1349
1348.57	1348.57
1348.16	1348.16
1347.59	1347.59
1347.51	1347.51
1347.22	1347.22
1347.02	1347.02
1346.76	1346.76
1346.51	1346.51
1345.82	1345.82
1345.31	1345.31
1344.81	1344.81
1344.37	1344.37
1343.86	1343.86
1343.36	1343.36
1342.92	1342.92
1342.67	1342.67
1342.43	1342.43
1341.99	1341.99
1341.74	1341.74
1341.49	1341.49
1341.5	1341.5
1341.07	1341.07
1340.82	1340.82
1340.57	1340.57
1340.14	1340.14
1339.89	1339.89
1339.64	1339.64
1339.2	1339.2
1338.96	1338.96
1338.71	1338.71
1338.27	1338.27
1338.02	1338.02
1338.03	1338.03
1337.78	1337.78
1337.6	1337.6
1337.36	1337.36
1337.36	1337.36
1336.93	1336.93
1336.68	1336.68
1336.69	1336.69
1336.44	1336.44
1336.26	1336.26
1336.01	1336.01
1335.76	1335.76
1335.5	1335.5
1335.02	1335.02
1334.71	1334.71
1334.36	1334.36
1333.77	1333.77
1333.34	1333.34
1332.91	1332.91
1332.5	1332.5
1331.93	1331.93
1331.6	1331.6
1331.3	1331.3
1331.04	1331.04
1330.59	1330.59
1330.34	1330.34
1330.09	1330.09
1329.85	1329.85
1329.15	1329.15
1328.91	1328.91
1328.91	1328.91
1328.67	1328.67
1327.97	1327.97
1327.72	1327.72
1327.73	1327.73
1327.48	1327.48
1327.49	1327.49
1327.05	1327.05
1327.06	1327.06
1327.06	1327.06
1327.07	1327.07
1326.63	1326.63
1326.64	1326.64
1326.39	1326.39
1326.14	1326.14
1326.14	1326.14
1325.89	1325.89
1325.71	1325.71
1325.46	1325.46
1325.47	1325.47
1325.21	1325.21
1325.22	1325.22
1325.22	1325.22
1324.78	1324.78
1324.79	1324.79
1324.79	1324.79
1324.62	1324.62
1324.63	1324.63
1324.63	1324.63
1324.63	1324.63
1324.38	1324.38
1324.39	1324.39
1324.2	1324.2
1324.2	1324.2
1324.2	1324.2
1324.21	1324.21
1323.95	1323.95
1323.7	1323.7
1323.71	1323.71
1323.46	1323.46
1323.21	1323.21
1323.02	1323.02
1322.77	1322.77
1322.77	1322.77
1322.78	1322.78
1322.53	1322.53
1322.53	1322.53
1322.28	1322.28
1322.1	1322.1
1321.85	1321.85
1321.6	1321.6
1321.35	1321.35
1321.34	1321.34
1321.06	1321.06
1320.56	1320.56
1320.46	1320.46
1320.06	1320.06
1319.64	1319.64
1319.21	1319.21
1318.61	1318.61
1318.23	1318.23
1317.9	1317.9
1317.6	1317.6
1317.33	1317.33
1316.89	1316.89
1316.65	1316.65
1316.15	1316.15
1315.71	1315.71
1315.47	1315.47
1314.97	1314.97
1314.73	1314.73
1314.04	1314.04
1313.79	1313.79
1313.3	1313.3
1312.87	1312.87
1312.37	1312.37
1312.13	1312.13
1311.44	1311.44
1311.2	1311.2
1310.96	1310.96
1310.27	1310.27
1310.03	1310.03
1309.79	1309.79
1309.35	1309.35
1308.86	1308.86
1308.62	1308.62
1307.93	1307.93
1307.69	1307.69
1307.2	1307.2
1306.76	1306.76
1306.27	1306.27
1306.03	1306.03
1305.6	1305.6
1305.1	1305.1
1304.86	1304.86
1304.43	1304.43
1303.94	1303.94
1303.7	1303.7
1303.27	1303.27
1303.03	1303.03
1302.54	1302.54
1302.1	1302.1
1301.86	1301.86
1301.62	1301.62
1301.19	1301.19
1300.95	1300.95
1300.71	1300.71
1300.28	1300.28
1300.04	1300.04
1299.8	1299.8
1299.37	1299.37
1298.88	1298.88
1298.64	1298.64
1298.21	1298.21
1298.22	1298.22
1297.98	1297.98
1297.55	1297.55
1297.31	1297.31
1297.07	1297.07
1296.89	1296.89
1296.65	1296.65
1296.41	1296.41
1295.98	1295.98
1295.74	1295.74
1295.5	1295.5
1295.07	1295.07
1295.08	1295.08
1294.84	1294.84
1294.41	1294.41
1294.17	1294.17
1293.92	1293.92
1293.5	1293.5
1293.26	1293.26
1293.01	1293.01
